Date,Open,High,Low,Close,Adj Close,Volume
2005-12-16,2.576429,2.582143,2.537857,2.539643,2.171441,671171200
2005-12-19,2.539643,2.592857,2.537143,2.549286,2.179686,529295200
2005-12-20,2.558214,2.585000,2.540000,2.575357,2.201977,479108000
2005-12-21,2.592857,2.628929,2.590714,2.625000,2.244422,475736800
2005-12-22,2.639643,2.660357,2.628571,2.643571,2.260301,370610800
2005-12-23,2.648929,2.652143,2.617857,2.619643,2.239842,229857600
2005-12-27,2.642857,2.685000,2.641071,2.651071,2.266712,590590000
2005-12-28,2.659643,2.670000,2.618571,2.627500,2.246559,398115200
2005-12-29,2.635000,2.636429,2.550714,2.551786,2.181822,490025200
2005-12-30,2.532500,2.586786,2.512143,2.567500,2.195259,624262800
2006-01-03,2.585000,2.669643,2.580357,2.669643,2.282593,807234400
2006-01-04,2.683214,2.713571,2.660714,2.677500,2.289311,619603600
2006-01-05,2.672500,2.675000,2.633929,2.656429,2.271295,449422400
2006-01-06,2.687500,2.739286,2.662500,2.725000,2.329923,704457600
2006-01-09,2.740357,2.757143,2.705000,2.716071,2.322289,675040800
2006-01-10,2.723214,2.924643,2.708214,2.887857,2.469169,2279869200
2006-01-11,2.994286,3.028571,2.949643,2.996429,2.562000,1493794400
2006-01-12,3.034643,3.085714,2.986429,3.010357,2.573909,1280809600
2006-01-13,3.035357,3.071786,3.021429,3.056786,2.613607,776305600
2006-01-17,3.060714,3.085000,2.995357,3.025357,2.586734,835623600
2006-01-18,2.967143,3.001786,2.923214,2.946071,2.518944,1200637200
2006-01-19,2.901786,2.916429,2.812143,2.822857,2.413592,1695848000
2006-01-20,2.831429,2.858571,2.708214,2.717500,2.323512,1134758800
2006-01-23,2.717857,2.841429,2.714286,2.773929,2.371759,1059730000
2006-01-24,2.812857,2.836429,2.706071,2.715714,2.321983,1142254400
2006-01-25,2.763929,2.767857,2.616071,2.650000,2.265798,1275786400
2006-01-26,2.661786,2.693929,2.568929,2.583214,2.208695,1181387200
2006-01-27,2.605357,2.628571,2.539286,2.572500,2.199533,953864800
2006-01-30,2.541786,2.735714,2.531071,2.678571,2.290226,1398401200
2006-01-31,2.696429,2.726429,2.633929,2.696786,2.305800,913542000
2006-02-01,2.676786,2.730714,2.665714,2.693571,2.303052,521186400
2006-02-02,2.682143,2.691429,2.573214,2.575000,2.201672,707322000
2006-02-03,2.580000,2.599643,2.537143,2.566071,2.194036,692123600
2006-02-06,2.572143,2.589643,2.383571,2.403571,2.055096,1651767600
2006-02-07,2.438214,2.481429,2.381429,2.414286,2.064257,1388830800
2006-02-08,2.446071,2.467143,2.357143,2.457500,2.101206,953114400
2006-02-09,2.467857,2.472500,2.304643,2.319643,1.983336,1149764000
2006-02-10,2.327857,2.416786,2.246429,2.403929,2.055403,1760477600
2006-02-13,2.379643,2.383929,2.308571,2.311071,1.976007,883498000
2006-02-14,2.325000,2.432143,2.321429,2.415714,2.065480,1160938800
2006-02-15,2.398571,2.486429,2.383929,2.472143,2.113726,1159771200
2006-02-16,2.496786,2.536071,2.481429,2.520357,2.154950,948175200
2006-02-17,2.510714,2.531786,2.486071,2.510357,2.146400,575999200
2006-02-21,2.521071,2.528571,2.452857,2.467143,2.109452,779606800
2006-02-22,2.464286,2.559643,2.428571,2.547143,2.177852,978238800
2006-02-23,2.563929,2.607143,2.551071,2.562500,2.190983,856917600
2006-02-24,2.576429,2.603214,2.542857,2.552143,2.182128,534744000
2006-02-27,2.571071,2.575714,2.523214,2.535357,2.167776,791240800
2006-02-28,2.556429,2.585714,2.432143,2.446071,2.091434,1266980400
2006-03-01,2.458571,2.481786,2.429286,2.467857,2.110062,763817600
2006-03-02,2.463929,2.499643,2.452500,2.486071,2.125635,625273600
2006-03-03,2.478571,2.496786,2.411786,2.418571,2.067922,737668400
2006-03-06,2.417500,2.418571,2.319286,2.338571,1.999520,912665600
2006-03-07,2.348571,2.389286,2.324286,2.368214,2.024865,872877600
2006-03-08,2.367500,2.400000,2.333929,2.345000,2.005017,653251200
2006-03-09,2.356429,2.373929,2.278929,2.283214,1.952189,799304800
